coLiID,coLiURL,coWebSite,coIndustry,coSize,coType,Company_Name,liCompanyLogoUrl,Company_Description,Class_Label,"Consulting = 1
Non-Consulting = Blank",Keyword,employeeCount,addrStreetAddr1,addrLocality,addrRegion,addrPostalCode,addrCountryName,youtube_link,instagram_link,facebook_link,linkedin_link,twitter_link,keywords,description,response_code
7752,https://www.linkedin.com/company/7752,http://AA,Information Technology and Services,501-1000 employees,Public Company,A-------------A,,"Members will see the Company Name and Description that match their language preference. Otherwise, we will display your Default Language selection. Members will see the Company Name and Description that match their language preference. Otherwise, we will display your Default Language selection.",0,,,,,,,,United States,[],[],[],[],[],[],[],
8531,https://www.linkedin.com/company/8531,http://www.trx.com/,Information Technology and Services,501-1000 employees,Public Company,"TRX, a Concur Company",,"TRX is now part of the Concur family - please follow linkedin.com/company/concur-technologies now for the latest in business travel news and updates! 

And, please follow Concur online at:

www.concur.com
www.twitter.com/concur
www.concur.com/blog
www.facebook.com/concur",0,,,,"2970 Clairmont Road, Suite 300",Atlanta,Georgia,30329,United States,[],[],[https://facebook.com/SAPConcur],[https://linkedin.com/company/SAPConcur],[https://twitter.com/SAPConcur],"[concur technologies, concur, business travel and expense, travel and expense management software, business travel and expense software, concur software,]","[SAP Concur simplifies travel,  expense  and invoice management for total visibility and greater control. Start your test drive now!]",200
79959,https://www.linkedin.com/company/79959,http://www.betasoftsystems.com,Information Technology and Services,201-500 employees,Privately Held,Beta Soft,https://media.licdn.com/mpr/mpr/shrink_400_400//AAEAAQAAAAAAAAjJAAAAJGRhZWI1YzhmLWQ5NGYtNGRmMy05NTk4LTY0OTUzMWMxZGY4Ng.png,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,,,,Christy Street,Fremont,CA,94539,United States,[],[],[https://facebook.com/SAPConcur],[https://linkedin.com/company/SAPConcur],[https://twitter.com/SAPConcur],"[concur technologies, concur, business travel and expense, travel and expense management software, business travel and expense software, concur software,]","[SAP Concur simplifies travel,  expense  and invoice management for total visibility and greater control. Start your test drive now!]",
16133,https://www.linkedin.com/company/16133,http://www.valcomtechnology.com,Information Technology and Services,201-500 employees,Public Company,ValCom Technology,https://media.licdn.com/mpr/mpr/shrink_400_400//AAEAAQAAAAAAAAjcAAAAJGI3ZmMwOTBkLTM2ZjgtNDIyMy1iZmJhLTI3MDIwZDU1ZjNiOA.png,"ValCom was a technology solutions company founded in 1983, headquartered in Itasca, Illinois.
 
In March 2011, ValCom Technology was acquired by Connection, Inc. (NASDAQ: CNXN).
 
Connection integrated ValCom into its professional services organization.

In December, 2013, Valcom officially merged into Connection, Inc. and no longer exists as a separate legal entity.",0,,,,,,,,United States,[],[],[],[],[],[],[],200
40462,https://www.linkedin.com/company/40462,http://www.divintech.com,Information Technology and Services,501-1000 employees,Privately Held,Diversified Information Technologies,https://media.licdn.com/mpr/mpr/shrink_400_400//AAEAAQAAAAAAAAO1AAAAJDQ5Mjc4ZTRhLTM5ZjAtNGEzZS1hOWQ1LTlkNTY4MzI5NTQ4Zg.png,"Diversified Information Technologies, Diversified Information Technologies, Diversified Information Technologies",0,,,,,,,,United States,[],[],[],[],[],[],[],
22931,https://www.linkedin.com/company/22931,http://bts.wrberkley.com,Information Technology and Services,201-500 employees,Public Company,Berkley Technology Services (a W. R. Berkley Company),,"Berkley Technology Services (BTS) is a dynamic company committed to providing world class IT services.  We offer a unique culture, enabling our team members to be on the cutting edge of technology while delivering high quality solutions.  We are looking for outstanding individuals who will bring unique perspectives, insight and innovation to our teams. 

BTS, a member company of W. R. Berkley Corporation, has facilities located in Des Moines, Iowa and Wilmington, Delaware.  Our functions include working with various third parties to develop, integrate, and support insurance systems of WRBC's operating units.  BTS strives to provide these functions in a holistic manner including helpdesk support, system connectivity, and operational support. Additional responsibilities include coordinating communications regarding best practices in the use of our supported systems and researching new technology.

At BTS, there are opportunities associated with being a part of an established and empowering corporation while maintaining a positive personal working environment. Additionally, we provide a competitive compensation and benefits package including a casual dress code.  

BTS is constantly growing and expanding to meet the changing demands of one of the most successful insurance organizations in the world.   If you are ready to jump start your career, BTS is the place for you.",0,,,,3840 109th Street,Urbandale,IA,50322,United States,[],[],[],[],[],[],[],
126542,https://www.linkedin.com/company/126542,http://www.ignitetech.com,Information Technology and Services,201-500 employees,Privately Held,ThinkVine (acquired by Ignite Technologies in October 2016),,"ThinkVine was acquired by Ignite Technologies in October 2016.  ThinkVine products are still alive and thriving, and now benefit from the support of Ignite’s world class technology teams and unwavering commitment to customer success. To learn more, visit ignitetech.com.",0,,,,"401 Congress Ave., Suite 2650",Austin,TX,78701,United States,[],[],[],[],[],[],[Ignite Technologies :: Home],200
10472,https://www.linkedin.com/company/10472,http://www.digitalmotorworks.com/,Information Technology and Services,201-500 employees,Public Company,Digital Motorworks,,"Digital Motorworks Inc. (DMI)  •  (512) 349-9360  •  info@digitalmotorworks.com                     

DMI is retail automotive data. It’s a big claim, but we believe we deliver the solutions, experience, security and track record to back it up. Without DMI, there would be no automotive web portals, no vehicle service history reports, no customer relationship management, no parts locators. If you’ve looked at a car online, ordered a part or gotten a reminder to change your oil, chances are you’ve seen our work.

We’ve been the leader in automotive data for a long time, but what we value most are our partnerships with OEMs, dealers, suppliers and other clients. These partnerships make us Who We Are. We work hard not only to be the largest, most comprehensive data provider, but to deliver the highest quality, most reliable, trusted solutions possible.

We currently work with every OEM in North America and process data for nearly all dealerships in the U.S. and Canada. That’s 23,000 dealerships and over 140,000 data connections every day.

DMI, with IntegraLink, is a business unit of CDK Global, previously known as ADP Dealer Services.",0,,customer relationship management,,"8601 RM 2222, Bldg. 1, Suite 400",Austin,TX,78730,United States,[],[],[],[],[],[],[],404
50881,https://www.linkedin.com/company/50881,http://www.agilex.com,Information Technology and Services,501-1000 employees,Privately Held,Agilex Technologies,,"Agilex is Now Part of Accenture Federal Services.

Agilex builds innovative digital government solutions to enable a healthier, safer and more prosperous America. As part of Accenture Federal Services (AFS), Agilex can help address the nation's largest and most complex challenges, using its leadership in agile development to deliver mission results and performance improvements faster. Together with Accenture's global resources and broad portfolio of offerings and the government expertise and delivery excellence of AFS, Agilex helps federal agencies capitalize on digital technologies – including analytics, cloud and mobile computing – to advance their mission.  

Learn More @ www.Agilex.com/NowAFS",0,,"the government expertise, ",,5155 Parkstone Drive,Chantilly,Virginia,20151,United States,[https://youtube.com/accenture],[],[https://facebook.com/accenture],"[https://linkedin.com/company/1033, https://linkedin.com/company/accenture, https://linkedin.com/company/accenturefederalservices]","[https://twitter.com/biniamgebre, https://twitter.com/Accenture, https://twitter.com/iraentis, https://twitter.com/ebeeman, https://twitter.com/AccentureFed, https://twitter.com//ddelmoli]","[accenture federal services, transforming federal health, federal services, federal management partners, federal government services, federal technology, accenture public sector, federal management services, government customer experience]",[Accenture Federal Services uses agile approaches to help clients solve their toughest problems fast—the first time. See how we deliver what matters most.],200
69352,https://www.linkedin.com/company/69352,http://www.jmait.com,Information Technology and Services,201-500 employees,Privately Held,JMA Information Technology,,"JMA IT is a global solution provider that leverages in-house engineering resources aligned with cutting-edge technology partners to service networking, storage, virtualization, and telephony projects. 

JMA specializes in network infrastructure planning, design, implementation and support, network security, tier 1&2 help desk, VoIP implementation, systems integration, and application development.",0,,,,"10551 Barkley Street, Suite 400",Overland Park,Kansas,66212,United States,[],[],[https://facebook.com/JMAITInc],[https://linkedin.com/company/jma-information-technology],[https://twitter.com/JMAITInc],[],[],200
