,Company_Description,Class_Label
0,"Members will see the Company Name and Description that match their language preference. Otherwise, we will display your Default Language selection. Members will see the Company Name and Description that match their language preference. Otherwise, we will display your Default Language selection.",0.0
1,"TRX is now part of the Concur family - please follow linkedin.com/company/concur-technologies now for the latest in business travel news and updates! 

And, please follow Concur online at:

www.concur.com
www.twitter.com/concur
www.concur.com/blog
www.facebook.com/concur",0.0
2,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0.0
3,"ValCom was a technology solutions company founded in 1983, headquartered in Itasca, Illinois.
 
In March 2011, ValCom Technology was acquired by Connection, Inc. (NASDAQ: CNXN).
 
Connection integrated ValCom into its professional services organization.

In December, 2013, Valcom officially merged into Connection, Inc. and no longer exists as a separate legal entity.",0.0
4,"Diversified Information Technologies, Diversified Information Technologies, Diversified Information Technologies",0.0
5,"Berkley Technology Services (BTS) is a dynamic company committed to providing world class IT services.  We offer a unique culture, enabling our team members to be on the cutting edge of technology while delivering high quality solutions.  We are looking for outstanding individuals who will bring unique perspectives, insight and innovation to our teams. 

BTS, a member company of W. R. Berkley Corporation, has facilities located in Des Moines, Iowa and Wilmington, Delaware.  Our functions include working with various third parties to develop, integrate, and support insurance systems of WRBC's operating units.  BTS strives to provide these functions in a holistic manner including helpdesk support, system connectivity, and operational support. Additional responsibilities include coordinating communications regarding best practices in the use of our supported systems and researching new technology.

At BTS, there are opportunities associated with being a part of an established and empowering corporation while maintaining a positive personal working environment. Additionally, we provide a competitive compensation and benefits package including a casual dress code.  

BTS is constantly growing and expanding to meet the changing demands of one of the most successful insurance organizations in the world.   If you are ready to jump start your career, BTS is the place for you.",0.0
6,"ThinkVine was acquired by Ignite Technologies in October 2016.  ThinkVine products are still alive and thriving, and now benefit from the support of Ignite’s world class technology teams and unwavering commitment to customer success. To learn more, visit ignitetech.com.",0.0
7,"Digital Motorworks Inc. (DMI)  •  (512) 349-9360  •  info@digitalmotorworks.com                     

DMI is retail automotive data. It’s a big claim, but we believe we deliver the solutions, experience, security and track record to back it up. Without DMI, there would be no automotive web portals, no vehicle service history reports, no customer relationship management, no parts locators. If you’ve looked at a car online, ordered a part or gotten a reminder to change your oil, chances are you’ve seen our work.

We’ve been the leader in automotive data for a long time, but what we value most are our partnerships with OEMs, dealers, suppliers and other clients. These partnerships make us Who We Are. We work hard not only to be the largest, most comprehensive data provider, but to deliver the highest quality, most reliable, trusted solutions possible.

We currently work with every OEM in North America and process data for nearly all dealerships in the U.S. and Canada. That’s 23,000 dealerships and over 140,000 data connections every day.

DMI, with IntegraLink, is a business unit of CDK Global, previously known as ADP Dealer Services.",0.0
8,"Agilex is Now Part of Accenture Federal Services.

Agilex builds innovative digital government solutions to enable a healthier, safer and more prosperous America. As part of Accenture Federal Services (AFS), Agilex can help address the nation's largest and most complex challenges, using its leadership in agile development to deliver mission results and performance improvements faster. Together with Accenture's global resources and broad portfolio of offerings and the government expertise and delivery excellence of AFS, Agilex helps federal agencies capitalize on digital technologies – including analytics, cloud and mobile computing – to advance their mission.  

Learn More @ www.Agilex.com/NowAFS",0.0
9,"JMA IT is a global solution provider that leverages in-house engineering resources aligned with cutting-edge technology partners to service networking, storage, virtualization, and telephony projects. 

JMA specializes in network infrastructure planning, design, implementation and support, network security, tier 1&2 help desk, VoIP implementation, systems integration, and application development.",0.0
10,"Design Strategy is a solutions development company, specializing in the Information Technology (IT) field since 1980.

",0.0
11,"TODO1 es una compañía líder en la creación, implementación y operación de soluciones digitales omnicanal, para compañías del sector financiero y del ecosistema de negocio FINTHEC. Desde hace más de 16 años, TODO1 ha transformado positivamente la vida de las personas y la productividad de las empresas, a través de experiencias memorables, aumentando la eficiencia y la rentabilidad de los bancos. Nuestros productos, servicios y soluciones son innovadores y seguros, permitiéndole a los bancos y a las entidades financieras, prestar servicios a sus clientes a través de canales digitales en América Latina.",0.0
12,"PLEASE NOTE: TARGUSinfo is now Neustar Information Services, a division of Neustar, Inc. Please follow us at www.linkedin.com/company/neustar-inc or go to our website www.neustarinfoservices.biz to learn more.

Neustar Information Services is the trusted provider of real-time information services and analytics, and the only one with IAN (Identifiers, Attributes and Network), the authoritative on demand insight engine. IAN powers a broad suite of complementary, multichannel consumer information solutions–including Identification, Verification, Scoring, Location, Caller ID, Online Display Ad Audience Marketing and Real-Time Analytics–to help clients make informed, actionable decisions in real-time when interacting with large volumes of consumers, one interaction at a time. As a result, America’s top brands rely on Neustar’s authoritative, current and secure solutions to improve audience interactions, increase conversion rates, optimize customer experiences, as well as reduce transactional risks and costs.",0.0
13,Data center and managed services solutions.,0.0
14,"Key provider of Information Technology (IT) services within financial services industry of Austria. By far largest datacenter operator for financial services within Austria and surrounding CE countries.
Joint-venture of Unicredit Bank Austria and Erste Group Bank. Has also operative subsidiaries in CE countries (incl. Czech Republic and Slovak Republic).",0.0
15,"Entercoms enables Global OEMs and operators with complex service operations to manage risks, maximize revenue and drive greater control over business outcomes. As a digital technology and services company, Entercoms powers the service chain through business-driven IP and analytical models, domain expertise, operations support services and cross-industry best practices.

Since 2008, Entercoms’ BPaaS solutions and unique engagement model has been enabling global leaders achieve, not just visibility, but control over the key levers of their service operation, allowing their management to be more proactive and their services more responsive to the needs of their customer. Entercoms has consistently delivered material improvements to the critical drivers of their service businesses and accelerated their outcomes.

Our unique mix of IP technology, non-disruptive engagement model, outcome and performance-based managed services, and rapid time to value has earned Entercoms the distinction of being listed as one of Gartner’s Cool Vendors in Supply Chain Services, 2016. We have also achieved “Winner’s Circle” membership in the HfS Blueprint Report for our innovation-driven business while our industry leadership and vision have earned us the recognition of the Ernst & Young’s Entrepreneur of the Year Award, 2012.",0.0
16,"EffectiveSoft is an international software development service provider with more than 16 years of professional experience. We are headquartered in San Diego, CA, and offer both local and off-shore presence. EffectveSoft team today counts up to 250 people (both onsite and off-shore). We have been 3x MS Gold Certified and 2x MS Silver Certified. We provide a full cycle of software development services, with main focus on MS Stack, Java, PHP and mobile technologies.

EffectiveSoft participated in mission-critical projects for such end-clients as Deutsche Bank, IKEA, British Gas, Tanker Pacific and Wates Group. Our professional experience covers such industry domains as healthcare, document management, insurance, e-trading, logistics & transportation, banking & finance, and more.",0.0
17,"nfrastructure partners with the world’s most admired brands to design, build, and support integrated technology environments for an increasingly connected world. An insight, execution, and results culture delivers on-time, every-time. nfrastructure offers: world-class engineering talent, on-site technical service in every major North American market, tightly integrated high-availability, low cost remote support and an innovative, proprietary “nterprise” software suite to manage complex projects. 20+ years of experience, unparalleled technical expertise, and overwhelmingly satisfied customers, partners and employees have proven nfrastructure's ability to cultivate sustainable business model innovation across the Internet of Everything (IoE) spectrum.",0.0
