Company_Description,Class_Label
"ABILITY Network is a leading information technology company that helps providers and payers simplify the administrative and clinical complexities of healthcare through innovative applications and data analytics. We provide applications that are integral in helping with revenue cycle management (including claims, eligibility and remittance), clinical management (including clinical intelligence) and overall performance improvement (including analytics and benchmarking) via a powerful, integrated platform that enables connectivity between and among payers and providers. 
 
 
 
 SERVICES: 
 
 
 
 ABILITY EASE Medicare: Maximize revenue cycle management by simplifying DDE Medicare claims and eligibility verification for home health, hospice, hospitals and SNFs 
 
 
 
 ABILITY COMPLETE: All-payer eligibility verification and customizable dashboard - Medicare, Medicaid and commercial payers 
 
 
 
 ABILITY CHOICE All-Payer Claims: Easy-to-use electronic claims submission service for over 2,200 commercial insurance companies, Medicare, and Medicaid",1
"We give P&C insurers a genuine path to the future with advanced technology grounded in decades of industry expertise, responsive to the unique challenges of each carrier, and shaped by the day-to-day of human behavior. 
 
 
 
 We are sustained by a persistent curiosity that isnt afraid to challenge the norms of the property & casualty industry, that believes the vision for tomorrow need not be tied to the legacy of today, and it is our job to get you there sooner. 
 
 
 
 www.duckcreek.com.",1
"With insights across the entire lifecycle, Accruent helps over 10,000 leading organizations worldwide to optimize every aspect of planning and managing their physical resources. Through services including project management, energy management, and facilities administration, Accruent's innovative software helps companies drive out hidden costs, extend asset lifecycles, protect their brands, and ensure compliance—helping optimize all stages of real estate so that businesses can focus on fulfilling their mission.",1
"Acronis sets the standard for cyber protection and hybrid cloud storage through its innovative backup, anti-ransomware, disaster recovery, storage, and enterprise file sync and share solutions. Enhanced by its award-winning AI-based active protection technology, blockchain-based authentication and unique hybrid-cloud architecture, Acronis protects all data in any environment including physical, virtual, cloud, mobile workloads and applications all at a low and predictable cost.
 
 
 
 Founded in Singapore in 2003 and incorporated in Switzerland in 2008, Acronis now has more than 1,000 employees in 18 countries. Its solutions are trusted by more than 5 million consumers and 500,000 businesses, including 79 of the top 100 most valuable brands. Acronis products are available through 50,000 partners and service providers in over 150 countries in more than 20 languages. 
 
 For more information visit www.acronis.com",1
"Your Data, Our Passion
 
 
 
 At Actian, we believe data should be used as a competitive advantage. Through the deployment of remarkable data technology, underpinned by a relentless and trusted service commitment, we make sure that business critical systems can transact and integrate at their very best on premise, in the cloud or 3. Thousands of companies like Citicorp, Conoco Phillips, Bloomberg, ADP, Intuit and GE Transportation trust Actian to help them solve the toughest data challenges to transform how they run their businesses, today and in the future.",1
"Aderant, headquartered in Atlanta, Georgia is a global industry leader in providing comprehensive business management software for law firms and professional services organizations. Aderant is a market leader in technology solutions for practice and financial management, knowledge management, business intelligence, matter planning, calendaring and docketing. Aderant is an established and trusted partner due to its versatile and innovative technology solutions, superior customer support, and reliable implementation process. Aderant operates as a unit of Roper Technologies, a constituent of the S&P 500, Fortune 1000 and the Russell 1000 indices.",1
"ADTRAN, Inc. (NASDAQ: ADTN) is defining the future network with innovative next-generation solutions that enable telecommunication service providers to deliver voice, data and video services to homes and businesses. Our vision is to enable a fully connected world where the power to communicate is available to everyone, everywhere. 
 
 
 
 ADTRAN was founded in 1985 in Huntsville, AL. The corporate headquarters remains in Huntsville with additional R&D centers in Germany and India and sales offices located throughout the world. Innovation has been at the heart of the company since its inception and is recognized through our large portfolio of patents that is more than 700 strong. 
 
 
 
 Our employees, more than 2,000 strong, come to work each day searching for ways to bring the world together through improved communication. We seek the best and brightest minds that bring integrity, a spirit of entrepreneurism, creative problem solving, and a passion for their work.",1
"Founded in 1999, AHM, an IQVIA company, is a leading global provider of software and services to manage compliant healthcare professional (HCP) engagements. The spectrum of AHM’s customer base extends from emerging Life Sciences companies to 11 of the Top 20 global pharmaceutical companies.

For nearly 20 years, we have implemented more HCP engagement solutions, and managed more meetings than any other industry provider. More than 40,000 pharmaceutical reps and healthcare professionals use AHM’s solutions to manage an average of 150,000 events annually—making us the industry leader in Speaker Bureau Management.

In May of 2018, AHM merged with IQVIA (formerly QuintilesIMS), increasing resources and expertise necessary to advance 3 companies’ global footprint while focusing on quality, client satisfaction, and defining “what’s next” in the industry.",1
"Agree lets you create and send beautiful, branded contracts in minutes. You’ll know the status of your contract every step of the way. And the best part? No more trips to the post office!",1
"Uniquely positioned at the center of the airline distribution ecosystem, ATPCO enables seamless management of the airfare data that makes our entire industry run more efficiently. We hold more than 170 million fares for 430 airlines in 160 countries and manage an average of 3.9 million daily fare changes. Because ATPCO is owned by airlines, we serve as a neutral and trusted partner for our airlines with travel agencies, search engines, global distribution systems, governments, and many other industry partners. Every day, these organizations rely on our thought leadership and portfolio of technology and data solutions to help millions of travelers get where they need to go.
 
 
 
 Learn more about us at atpco.net.
 
 
 
 View ATPCO careers at https://www.linkedin.com/jobs/atpco-jobs?trk=guest_job_details_employer_jserp",1
