,Company Decscription,Actual Labels,Predicted Labels
708,"Teaching you how to be safer online without all the ""tech talk"".

Prilock is a next generation Security Awareness Training company that specializes in delivering innovative and effective trainings that impact the users and cause behavioral changes that protect them, their systems, and company customers and data from cyber theft.

The training's are designed to show attacks then the best practices to prevent those attacks. They can be taken all at once in under an hour or our LMS will track the students and their progress until they complete the training and assessment tests.These training's are designed as if your IT director could sit with each employee during the day and show them how to use the corporate networks, internet, surf the web, and even instant messaging safely while avoiding viruses, malsites, and infected files.Talk with our consultants and ask about our volume pricing, customized training's, and hosting options. We can quickly set up your company whether you have 10 employees or 10,000. We use the fastest secure servers and have state of the art customer and student support.",1.0,1.0
215,"Universal Software Corporation was established in 1992 in Massachusetts, USA as an IT consulting, software development and IT project management services.  Our vision is to be a premier solutions organization committed to providing best-in-class client service and employee care.  Our employees’ works on projects in organizations across industries and on government projects all across United States.   Universal Software has been recognized as one of the fastest growing privately held companies in the U.S. several times by Inc. 500 magazine.  Our present services include Consulting, Project Outsourcing, Project Management & Product Development.",1.0,1.0
882,"Welcome to DeZyre.com's home on LinkedIn! Follow us for regular updates on job-skills, career development, interview tips, free webinars and more. We pride ourselves for providing inspiration to your career. 

Who we are and what we do...

We strive to provide the best training in the Industry for IT skills. Our training courses include Big Data and Hadoop, Apache Spark, Data Science in Python, Data Science in R programming, Salesforce, Hadoop Administration, iOS App Development, NoSQL Databases, Front-end Web Development and Advanced MS Excel with VBA, Macros and Dashboards. 

Our aim is to bring world class faculty and an intense, comprehensive and detailed content together, to provide the best quality training for job relevant courses. 

We would love to hear from you. 

Please call us at 1-866-313-2409 (US Toll Free)",2.0,1.0
88,"At Brooksource, our business is people. Relationships are at the center of what we do. A successful partnership is only as strong as the relationship built.

We’re your trusted partner for IT hiring, recruiting and staffing needs. For over 16 years, Brooksource has established and maintained relationships that are designed to meet your IT staffing needs. Whether it’s contract, contract-to-hire, or permanent placement work, we customize our search based upon your company's unique initiatives, culture and technologies. With our national team of recruiters placed at 21 major hubs around the nation, Brooksource finds the people best-suited for your business.
 
When you work with us, we work with you. That’s the Brooksource promise.",1.0,1.0
842,"Enrollment Is Free. Knowledge Is Priceless.

THE NEXTDDS is a unique website developed just for enrolled dental students. THE NEXTDDS contains a wide array of instructional resources designed to complement students' university and clinical training, and can be accessed via desktop, laptop, or smart phone--and enrollment is completely FREE!",2.0,2.0
139,"Ortronics products are leaders in network infrastructure solutions, offering a complete range of connectivity and physical support products. Legrand connects you to the people and resources that matter most, whether you need to run copper or fiber for a LAN, SAN, or data center with a distributed, centralized, or zoned architecture. We understand the impact of structured cabling and physical support on networks, so we design systems to ensure yours connect flawlessly.",1.0,1.0
86,"In a technological landscape where quick turnarounds and short acclimation timeframes are becoming the new standard of business, CIOs, procurement executives and hiring managers need a company that does so much more than source a role today with a qualified IT consultant. They need a partner who is consistently “Bringing The Best Together” to help them be in the right place at the right time and seamlessly adapt to a host of changes on the consulting, outsourcing and project management front. 

That’s why they choose Innovative Systems Group (ISG). 

For a clientele that includes a variety of companies in the Fortune 500, we bring the best people and resources together so our clients can hit the ground running. Whether that calls for obtaining that special kind of talent who meshes culturally with the organization’s goals for years to come, flexible OnDemand solutions to help clients quickly scale up or down or inventive options in OnShore development that enable us to keep consultants close to client operations while preserving their current space on-site.

ISG is how forward-thinking businesses find the highest level of intelligence on the IT consultants, trends and tools that will shape the next era. So they can continue to lead rather than follow.",1.0,1.0
486,"Delphiis, an Auxilio company, is the leader in Security Program Development, Risk Management Program Development, and Incident and Breach Response Services. The ongoing management of these programs are led by Delphiis' Managed Services, a team of experts who offer a unique concierge style approach to ongoing management of security tasks. 

In addition, its SaaS Risk Management Automation solution makes conducting and reporting the findings from risk assessments to non-IT executives simple, fast and repeatable. 

Delphiis specializes in healthcare, helping many of the leading academic and hospital systems effectively and cost efficiently strengthen the power of their information security departments ensuring patient safety across the enterprise. 

The Story Behind Delphiis:

After decades in the information security industry and consulting for many Fortune 500 and Global 1000 organizations, Delphiis saw and heard the same problems over and over again with very little variation. Delphiis founder Mike Gentile went so far as to co-author multiple books on the topic, CISO Handbook and CISO Soft Skills.

Delphiis discovered that there are huge gaps in the development of healthy security systems within most organizations. At the same time, the environment in which most security programs must survive are also becoming more and more difficult to navigate. Delphiis' mantra is simple: control what you can. As there are factors outside of your control like budgetary constraints, workload, threats, infrastructures, culture, and so on.

The core DNA that has been embedded into Delphiis' Risk Management Automation application is Delphiis' ability to collaborate and execute through simple-but-effective methodology used in projects in leading organizations around the world. 

Delphiis has quickly learned that its not just a security company, it is is an execution company. It is Delphiis' passion and goal to change the information security landscape as we know it.",1.0,1.0
635,"NACON Consulting, LLC (NACON) is engaged in the development of innovative training products and solutions. 

If you are in the business of training then our VirtualOnDemand Learning Management System will enable you to offer your courses in a more hands on way.

Let us help you turn your web and multimedia course into an interactive Virtual Machine based practical exercise.",1.0,1.0
604,"The American Board for Certification in Homeland Security (ABCHS) serves a diverse membership of professionals including active and retired military, law enforcement and security experts, first responders, and others dedicated to the important mission of protecting our nation. The ABCHS is comprised of some of the world's leading professionals who have significant experience in homeland security and emergency response.

Our total commitment, together with an extraordinary knowledge base provided by our members, combined with an in-place organizational structure designed to deliver the highest quality training and continuing education opportunities for homeland security and emergency response, places the ABCHS in a pivotal position to make significant contributions to the most pressing issue facing our nation.",1.0,1.0
